"","日期","骑行","跑步","跳绳"
"187",2024-07-05,3,0,0
"188",2024-07-06,0,0,0
"189",2024-07-07,0,0,0
"190",2024-07-08,0,0,0
"191",2024-07-09,0,0,0
"192",2024-07-10,7.5,0,0
"193",2024-07-11,0,0,0
"194",2024-07-12,17.25,0,0
"195",2024-07-13,8.81,0,0
"196",2024-07-14,0,0,0
"197",2024-07-15,0,0,0
"198",2024-07-16,4.2,0,0
"199",2024-07-17,9.94,0,0
"200",2024-07-18,3.8,0,0
"201",2024-07-19,0,0,0
"202",2024-07-20,0,0,0
"203",2024-07-21,0,0,0
"204",2024-07-22,38.09,0,0
"205",2024-07-23,0,0,0
"206",2024-07-24,0,0,0
"207",2024-07-25,0,0,0
"208",2024-07-26,0,0,0
"209",2024-07-27,0,0,0
"210",2024-07-28,0,0,0
"211",2024-07-29,0,0,0
"212",2024-07-30,0,0,0
"213",2024-07-31,1.2,0,0
"214",2024-08-01,0.6,0,0
"215",2024-08-02,0,0,0
"216",2024-08-03,0,0,0
"217",2024-08-04,1.2,0,0
"218",2024-08-05,0,0,0
"219",2024-08-06,3.58,0,0
"220",2024-08-07,3.66,0,0
"221",2024-08-08,0,0,0
"222",2024-08-09,0,0,0
"223",2024-08-10,7.89,0,0
"224",2024-08-11,0,0,0
"225",2024-08-12,0,0,0
"226",2024-08-13,0,0,0
"227",2024-08-14,0,6.22,0
"228",2024-08-15,0,0,2000
"229",2024-08-16,0,0,0
"230",2024-08-17,0,0,0
"231",2024-08-18,1.2,0,0
"232",2024-08-19,0,0,0
"233",2024-08-20,0,0,1500
"234",2024-08-21,0,0,0
"235",2024-08-22,1.8,0,0
"236",2024-08-23,0,0,0
"237",2024-08-24,1.2,0,0
"238",2024-08-25,26.8,0,0
"239",2024-08-26,0,0,0
"240",2024-08-27,0,0,0
"241",2024-08-28,0,0,0
"242",2024-08-29,0,0,0
"243",2024-08-30,0,0,0
"244",2024-08-31,0,0,0
"245",2024-09-01,0,0,0
"246",2024-09-02,3.6,0,0
"247",2024-09-03,0,0,0
"248",2024-09-04,0,0,0
"249",2024-09-05,0,0,0
"250",2024-09-06,0,0,0
"251",2024-09-07,0,0,0
"252",2024-09-08,3.2,0,0
"253",2024-09-09,0,0,0
"254",2024-09-10,0,0,0
"255",2024-09-11,0,0,0
"256",2024-09-12,0,0,0
"257",2024-09-13,0,0,0
"258",2024-09-14,0,0,0
"259",2024-09-15,17.17,0,0
"260",2024-09-16,0,0,0
"261",2024-09-17,0,0,0
